index;uf;cidade;populacao_estimada;uf_name
75;AM;Amaturá;11934;Amazonas
76;AM;Anamã;14292;Amazonas
77;AM;Anori;21937;Amazonas
78;AM;Apuí;22739;Amazonas
79;AM;Atalaia do Norte;20868;Amazonas
80;AM;Autazes;41005;Amazonas
81;AM;Barcelos;27772;Amazonas
82;AM;Barreirinha;32919;Amazonas
83;AM;Benjamin Constant;44873;Amazonas
84;AM;Beruri;20503;Amazonas
85;AM;Boa Vista do Ramos;20040;Amazonas
86;AM;Boca do Acre;34958;Amazonas
87;AM;Borba;42328;Amazonas
88;AM;Caapiranga;13482;Amazonas
89;AM;Canutama;15981;Amazonas
90;AM;Carauari;28719;Amazonas
91;AM;Careiro;38820;Amazonas
92;AM;Careiro da Várzea;31459;Amazonas
93;AM;Coari;86713;Amazonas
94;AM;Codajás;29691;Amazonas
95;AM;Eirunepé;36121;Amazonas
96;AM;Envira;20748;Amazonas
97;AM;Fonte Boa;16409;Amazonas
98;AM;Guajará;17193;Amazonas
99;AM;Humaitá;57195;Amazonas
100;AM;Ipixuna;31172;Amazonas
101;AM;Iranduba;49718;Amazonas
102;AM;Itacoatiara;104046;Amazonas
103;AM;Itamarati;7777;Amazonas
104;AM;Itapiranga;9312;Amazonas
105;AM;Japurá;1755;Amazonas
106;AM;Juruá;15495;Amazonas
107;AM;Jutaí;13462;Amazonas
108;AM;Lábrea;47685;Amazonas
109;AM;Manacapuru;99613;Amazonas
110;AM;Manaquiri;33981;Amazonas
111;AM;Manaus;2255903;Amazonas
112;AM;Manicoré;57405;Amazonas
113;AM;Maraã;18298;Amazonas
114;AM;Maués;66159;Amazonas
115;AM;Nhamundá;21710;Amazonas
116;AM;Nova Olinda do Norte;38665;Amazonas
117;AM;Novo Airão;20395;Amazonas
118;AM;Novo Aripuanã;26443;Amazonas
119;AM;Parintins;116439;Amazonas
120;AM;Pauini;19616;Amazonas
121;AM;Presidente Figueiredo;38095;Amazonas
122;AM;Rio Preto da Eva;34856;Amazonas
123;AM;Santa Isabel do Rio Negro;26566;Amazonas
124;AM;Santo Antônio do Içá;20889;Amazonas
125;AM;São Gabriel da Cachoeira;47031;Amazonas
126;AM;São Paulo de Olivença;40837;Amazonas
127;AM;São Sebastião do Uatumã;14678;Amazonas
128;AM;Silves;9289;Amazonas
129;AM;Tabatinga;68502;Amazonas
130;AM;Tapauá;16876;Amazonas
131;AM;Tefé;59250;Amazonas
132;AM;Tonantins;19038;Amazonas
133;AM;Uarini;13839;Amazonas
134;AM;Urucará;16007;Amazonas
135;AM;Urucurituba;24098;Amazonas
136;RR;Amajari;13561;Roraima
137;RR;Alto Alegre;15249;Roraima
138;RR;Boa Vista;436591;Roraima
139;RR;Bonfim;12701;Roraima
140;RR;Cantá;19257;Roraima
141;RR;Caracaraí;22635;Roraima
142;RR;Caroebe;10595;Roraima
143;RR;Iracema;12637;Roraima
144;RR;Mucajaí;18482;Roraima
145;RR;Normandia;11772;Roraima
146;RR;Pacaraima;20108;Roraima
147;RR;Rorainópolis;31387;Roraima
148;RR;São João da Baliza;8492;Roraima
149;RR;São Luiz;8232;Roraima
150;RR;Uiramutã;11014;Roraima
151;PA;Abaetetuba;160439;Pará
152;PA;Abel Figueiredo;7536;Pará
153;PA;Acará;55744;Pará
154;PA;Afuá;39910;Pará
155;PA;Água Azul do Norte;27797;Pará
156;PA;Alenquer;57390;Pará
157;PA;Almeirim;34044;Pará
158;PA;Altamira;117320;Pará
159;PA;Anajás;30091;Pará
160;PA;Ananindeua;540410;Pará
161;PA;Anapu;29312;Pará
162;PA;Augusto Corrêa;46937;Pará
163;PA;Aurora do Pará;32200;Pará
164;PA;Aveiro;16421;Pará
165;PA;Bagre;31967;Pará
166;PA;Baião;49454;Pará
167;PA;Bannach;3239;Pará
168;PA;Barcarena;129333;Pará
169;PA;Belém;1506420;Pará
170;PA;Belterra;17944;Pará
171;PA;Benevides;64780;Pará
172;PA;Bom Jesus do Tocantins;17254;Pará
173;PA;Bonito;16769;Pará
174;PA;Bragança;130122;Pará
175;PA;Brasil Novo;14883;Pará
176;PA;Brejo Grande do Araguaia;7357;Pará
177;PA;Breu Branco;68597;Pará
178;PA;Breves;104280;Pará
179;PA;Bujaru;29717;Pará
180;PA;Cachoeira do Piriá;35307;Pará
181;PA;Cachoeira do Arari;24355;Pará
182;PA;Cametá;140814;Pará
183;PA;Canaã dos Carajás;39103;Pará
184;PA;Capanema;69828;Pará
185;PA;Capitão Poço;54545;Pará
186;PA;Castanhal;205667;Pará
187;PA;Chaves;24175;Pará
188;PA;Colares;12175;Pará
189;PA;Conceição do Araguaia;48115;Pará
190;PA;Concórdia do Pará;34236;Pará
191;PA;Cumaru do Norte;14044;Pará
192;PA;Curionópolis;17764;Pará
193;PA;Curralinho;35530;Pará
194;PA;Curuá;14776;Pará
195;PA;Curuçá;41093;Pará
196;PA;Dom Eliseu;61206;Pará
197;PA;Eldorado do Carajás;34069;Pará
198;PA;Faro;6949;Pará
199;PA;Floresta do Araguaia;20742;Pará
200;PA;Garrafão do Norte;26155;Pará
201;PA;Goianésia do Pará;41678;Pará
202;PA;Gurupá;34127;Pará
203;PA;Igarapé-Açu;39234;Pará
204;PA;Igarapé-Miri;63367;Pará
205;PA;Inhangapi;12009;Pará
206;PA;Ipixuna do Pará;67170;Pará
207;PA;Irituia;32639;Pará
208;PA;Itaituba;101541;Pará
209;PA;Itupiranga;53439;Pará
210;PA;Jacareacanga;6952;Pará
211;PA;Jacundá;60517;Pará
212;PA;Juruti;59961;Pará
213;PA;Limoeiro do Ajuru;29623;Pará
214;PA;Mãe do Rio;30389;Pará
215;PA;Magalhães Barata;8598;Pará
216;PA;Marabá;287664;Pará
217;PA;Maracanã;29559;Pará
218;PA;Marapanim;28563;Pará
219;PA;Marituba;135812;Pará
220;PA;Medicilândia;32347;Pará
221;PA;Melgaço;28121;Pará
222;PA;Mocajuba;31917;Pará
223;PA;Moju;84251;Pará
224;PA;Mojuí dos Campos;16282;Pará
225;PA;Monte Alegre;58289;Pará
226;PA;Muaná;41454;Pará
227;PA;Nova Esperança do Piriá;21519;Pará
228;PA;Nova Ipixuna;17027;Pará
229;PA;Nova Timboteua;15646;Pará
230;PA;Novo Progresso;25769;Pará
231;PA;Novo Repartimento;78488;Pará
232;PA;Óbidos;52473;Pará
233;PA;Oeiras do Pará;33182;Pará
234;PA;Oriximiná;74921;Pará
235;PA;Ourém;18079;Pará
236;PA;Ourilândia do Norte;33831;Pará
237;PA;Pacajá;49110;Pará
238;PA;Palestina do Pará;7575;Pará
239;PA;Paragominas;115838;Pará
240;PA;Parauapebas;218787;Pará
241;PA;Pau D'Arco;5339;Pará
242;PA;Peixe-Boi;8084;Pará
243;PA;Piçarra;12976;Pará
244;PA;Placas;32325;Pará
245;PA;Ponta de Pedras;32007;Pará
246;PA;Portel;63831;Pará
247;PA;Porto de Moz;42456;Pará
248;PA;Prainha;29827;Pará
249;PA;Primavera;10889;Pará
250;PA;Quatipuru;13794;Pará
251;PA;Redenção;86326;Pará
252;PA;Rio Maria;18208;Pará
253;PA;Rondon do Pará;53242;Pará
254;PA;Rurópolis;52473;Pará
255;PA;Salinópolis;41164;Pará
256;PA;Salvaterra;24392;Pará
257;PA;Santa Bárbara do Pará;21811;Pará
258;PA;Santa Cruz do Arari;10496;Pará
259;PA;Santa Izabel do Pará;72856;Pará
260;PA;Santa Luzia do Pará;19839;Pará
261;PA;Santa Maria das Barreiras;22244;Pará
262;PA;Santa Maria do Pará;25127;Pará
263;PA;Santana do Araguaia;75995;Pará
264;PA;Santarém;308339;Pará
265;PA;Santarém Novo;6796;Pará
266;PA;Santo Antônio do Tauá;32346;Pará
267;PA;São Caetano de Odivelas;18207;Pará
268;PA;São Domingos do Araguaia;25945;Pará
269;PA;São Domingos do Capim;32285;Pará
270;PA;São Félix do Xingu;135732;Pará
271;PA;São Francisco do Pará;15978;Pará
272;PA;São Geraldo do Araguaia;24566;Pará
273;PA;São João da Ponta;6294;Pará
274;PA;São João de Pirabas;23440;Pará
275;PA;São João do Araguaia;14105;Pará
276;PA;São Miguel do Guamá;60268;Pará
277;PA;São Sebastião da Boa Vista;27302;Pará
278;PA;Sapucaia;6088;Pará
279;PA;Senador José Porfírio;11305;Pará
280;PA;Soure;25752;Pará
281;PA;Tailândia;111554;Pará
282;PA;Terra Alta;11971;Pará
283;PA;Terra Santa;19063;Pará
284;PA;Tomé-Açu;64604;Pará
285;PA;Tracuateua;31549;Pará
286;PA;Trairão;19344;Pará
287;PA;Tucumã;40661;Pará
288;PA;Tucuruí;116605;Pará
289;PA;Ulianópolis;62286;Pará
290;PA;Uruará;45395;Pará
291;PA;Vigia;54650;Pará
292;PA;Viseu;62093;Pará
293;PA;Vitória do Xingu;15421;Pará
294;PA;Xinguara;45416;Pará
295;AP;Serra do Navio;5577;Amapá
296;AP;Amapá;9265;Amapá
297;AP;Pedra Branca do Amapari;17625;Amapá
298;AP;Calçoene;11493;Amapá
299;AP;Cutias;6217;Amapá
300;AP;Ferreira Gomes;8151;Amapá
301;AP;Itaubal;5730;Amapá
302;AP;Laranjal do Jari;52302;Amapá
303;AP;Macapá;522357;Amapá
304;AP;Mazagão;22468;Amapá
305;AP;Oiapoque;28534;Amapá
306;AP;Porto Grande;22927;Amapá
307;AP;Pracuúba;5370;Amapá
308;AP;Santana;124808;Amapá
309;AP;Tartarugalzinho;18217;Amapá
310;AP;Vitória do Jari;16572;Amapá
311;TO;Abreulândia;2609;Tocantins
312;TO;Aguiarnópolis;7049;Tocantins
313;TO;Aliança do Tocantins;5303;Tocantins
314;TO;Almas;6905;Tocantins
315;TO;Alvorada;8381;Tocantins
316;TO;Ananás;9435;Tocantins
317;TO;Angico;3475;Tocantins
318;TO;Aparecida do Rio Negro;4901;Tocantins
319;TO;Aragominas;5705;Tocantins
320;TO;Araguacema;7223;Tocantins
321;TO;Araguaçu;8418;Tocantins
322;TO;Araguaína;186245;Tocantins
323;TO;Araguanã;5856;Tocantins
324;TO;Araguatins;36573;Tocantins
325;TO;Arapoema;6590;Tocantins
326;TO;Arraias;10502;Tocantins
327;TO;Augustinópolis;18870;Tocantins
328;TO;Aurora do Tocantins;3809;Tocantins
329;TO;Axixá do Tocantins;9817;Tocantins
330;TO;Babaçulândia;10668;Tocantins
331;TO;Bandeirantes do Tocantins;3631;Tocantins
332;TO;Barra do Ouro;4673;Tocantins
333;TO;Barrolândia;5669;Tocantins
334;TO;Bernardo Sayão;4439;Tocantins
335;TO;Bom Jesus do Tocantins;5120;Tocantins
336;TO;Brasilândia do Tocantins;2221;Tocantins
337;TO;Brejinho de Nazaré;5540;Tocantins
338;TO;Buriti do Tocantins;11644;Tocantins
339;TO;Cachoeirinha;2293;Tocantins
340;TO;Campos Lindos;10505;Tocantins
341;TO;Cariri do Tocantins;4499;Tocantins
342;TO;Carmolândia;2627;Tocantins
343;TO;Carrasco Bonito;4165;Tocantins
344;TO;Caseara;5514;Tocantins
345;TO;Centenário;2966;Tocantins
346;TO;Chapada de Areia;1415;Tocantins
347;TO;Chapada da Natividade;3330;Tocantins
348;TO;Colinas do Tocantins;36271;Tocantins
349;TO;Combinado;4870;Tocantins
350;TO;Conceição do Tocantins;4070;Tocantins
351;TO;Couto Magalhães;5690;Tocantins
352;TO;Cristalândia;7268;Tocantins
353;TO;Crixás do Tocantins;1749;Tocantins
354;TO;Darcinópolis;6250;Tocantins
355;TO;Dianópolis;22704;Tocantins
356;TO;Divinópolis do Tocantins;6986;Tocantins
357;TO;Dois Irmãos do Tocantins;7173;Tocantins
358;TO;Dueré;4686;Tocantins
359;TO;Esperantina;11280;Tocantins
360;TO;Fátima;3824;Tocantins
361;TO;Figueirópolis;5222;Tocantins
362;TO;Filadélfia;8892;Tocantins
363;TO;Formoso do Araguaia;18358;Tocantins
364;TO;Tabocão;2615;Tocantins
365;TO;Goianorte;5136;Tocantins
366;TO;Goiatins;13169;Tocantins
367;TO;Guaraí;26403;Tocantins
368;TO;Gurupi;88428;Tocantins
369;TO;Ipueiras;2088;Tocantins
370;TO;Itacajá;7471;Tocantins
371;TO;Itaguatins;5801;Tocantins
372;TO;Itapiratins;3814;Tocantins
373;TO;Itaporã do Tocantins;2412;Tocantins
374;TO;Jaú do Tocantins;3906;Tocantins
375;TO;Juarina;2174;Tocantins
376;TO;Lagoa da Confusão;13989;Tocantins
377;TO;Lagoa do Tocantins;4470;Tocantins
378;TO;Lajeado;3199;Tocantins
379;TO;Lavandeira;1984;Tocantins
380;TO;Lizarda;3727;Tocantins
381;TO;Luzinópolis;3200;Tocantins
382;TO;Marianópolis do Tocantins;5332;Tocantins
383;TO;Mateiros;2773;Tocantins
384;TO;Maurilândia do Tocantins;3470;Tocantins
385;TO;Miracema do Tocantins;17628;Tocantins
386;TO;Miranorte;13551;Tocantins
387;TO;Monte do Carmo;8182;Tocantins
388;TO;Monte Santo do Tocantins;2311;Tocantins
389;TO;Palmeiras do Tocantins;6830;Tocantins
390;TO;Muricilândia;3623;Tocantins
391;TO;Natividade;9256;Tocantins
392;TO;Nazaré;3772;Tocantins
393;TO;Nova Olinda;12014;Tocantins
394;TO;Nova Rosalândia;4348;Tocantins
395;TO;Novo Acordo;4450;Tocantins
396;TO;Novo Alegre;2332;Tocantins
397;TO;Novo Jardim;2768;Tocantins
398;TO;Oliveira de Fátima;1124;Tocantins
399;TO;Palmeirante;6234;Tocantins
400;TO;Palmeirópolis;7694;Tocantins
401;TO;Paraíso do Tocantins;52521;Tocantins
402;TO;Paranã;10426;Tocantins
403;TO;Pau D'Arco;4885;Tocantins
404;TO;Pedro Afonso;13964;Tocantins
405;TO;Peixe;11996;Tocantins
406;TO;Pequizeiro;5546;Tocantins
407;TO;Colméia;8078;Tocantins
408;TO;Pindorama do Tocantins;4414;Tocantins
409;TO;Piraquê;3038;Tocantins
410;TO;Pium;7830;Tocantins
411;TO;Ponte Alta do Bom Jesus;4586;Tocantins
412;TO;Ponte Alta do Tocantins;8192;Tocantins
413;TO;Porto Alegre do Tocantins;3200;Tocantins
414;TO;Porto Nacional;53618;Tocantins
415;TO;Praia Norte;8563;Tocantins
416;TO;Presidente Kennedy;3668;Tocantins
417;TO;Pugmil;2746;Tocantins
418;TO;Recursolândia;4389;Tocantins
419;TO;Riachinho;4723;Tocantins
420;TO;Rio da Conceição;2211;Tocantins
421;TO;Rio dos Bois;2879;Tocantins
422;TO;Rio Sono;6498;Tocantins
423;TO;Sampaio;4876;Tocantins
424;TO;Sandolândia;3371;Tocantins
425;TO;Santa Fé do Araguaia;7678;Tocantins
426;TO;Santa Maria do Tocantins;3537;Tocantins
427;TO;Santa Rita do Tocantins;2407;Tocantins
428;TO;Santa Rosa do Tocantins;4864;Tocantins
429;TO;Santa Tereza do Tocantins;2928;Tocantins
430;TO;Santa Terezinha do Tocantins;2530;Tocantins
431;TO;São Bento do Tocantins;5457;Tocantins
432;TO;São Félix do Tocantins;1610;Tocantins
433;TO;São Miguel do Tocantins;12445;Tocantins
434;TO;São Salvador do Tocantins;3106;Tocantins
435;TO;São Sebastião do Tocantins;4898;Tocantins
436;TO;São Valério;3848;Tocantins
437;TO;Silvanópolis;5452;Tocantins
438;TO;Sítio Novo do Tocantins;8965;Tocantins
439;TO;Sucupira;2007;Tocantins
440;TO;Taguatinga;16966;Tocantins
441;TO;Taipas do Tocantins;2183;Tocantins
442;TO;Talismã;2831;Tocantins
443;TO;Palmas;313349;Tocantins
444;TO;Tocantínia;7688;Tocantins
445;TO;Tocantinópolis;22820;Tocantins
446;TO;Tupirama;1952;Tocantins
447;TO;Tupiratins;2785;Tocantins
448;TO;Wanderlândia;11783;Tocantins
449;TO;Xambioá;11500;Tocantins
450;MA;Açailândia;113783;Maranhão
451;MA;Afonso Cunha;6631;Maranhão
452;MA;Água Doce do Maranhão;12731;Maranhão
453;MA;Alcântara;22126;Maranhão
454;MA;Aldeias Altas;26979;Maranhão
455;MA;Altamira do Maranhão;8250;Maranhão
456;MA;Alto Alegre do Maranhão;28066;Maranhão
457;MA;Alto Alegre do Pindaré;31967;Maranhão
458;MA;Alto Parnaíba;11233;Maranhão
459;MA;Amapá do Maranhão;7047;Maranhão
460;MA;Amarante do Maranhão;42017;Maranhão
461;MA;Anajatuba;27170;Maranhão
462;MA;Anapurus;16054;Maranhão
463;MA;Apicum-Açu;17582;Maranhão
464;MA;Araguanã;15675;Maranhão
465;MA;Araioses;47095;Maranhão
466;MA;Arame;32825;Maranhão
467;MA;Arari;30014;Maranhão
468;MA;Axixá;12234;Maranhão
469;MA;Bacabal;105094;Maranhão
470;MA;Bacabeira;17446;Maranhão
471;MA;Bacuri;18726;Maranhão
472;MA;Bacurituba;5696;Maranhão
473;MA;Balsas;96951;Maranhão
474;MA;Barão de Grajaú;19026;Maranhão
475;MA;Barra do Corda;88895;Maranhão
476;MA;Barreirinhas;63891;Maranhão
477;MA;Belágua;7586;Maranhão
478;MA;Bela Vista do Maranhão;11347;Maranhão
479;MA;Benedito Leite;5643;Maranhão
480;MA;Bequimão;21317;Maranhão
481;MA;Bernardo do Mearim;6102;Maranhão
482;MA;Boa Vista do Gurupi;8494;Maranhão
483;MA;Bom Jardim;42010;Maranhão
484;MA;Bom Jesus das Selvas;35095;Maranhão
485;MA;Bom Lugar;16578;Maranhão
486;MA;Brejo;36900;Maranhão
487;MA;Brejo de Areia;8841;Maranhão
488;MA;Buriti;28916;Maranhão
489;MA;Buriti Bravo;23993;Maranhão
490;MA;Buriticupu;73595;Maranhão
491;MA;Buritirana;15503;Maranhão
492;MA;Cachoeira Grande;9524;Maranhão
493;MA;Cajapió;11255;Maranhão
494;MA;Cajari;19521;Maranhão
495;MA;Campestre do Maranhão;14530;Maranhão
496;MA;Cândido Mendes;20376;Maranhão
497;MA;Cantanhede;22236;Maranhão
498;MA;Capinzal do Norte;10937;Maranhão
499;MA;Carolina;24151;Maranhão
500;MA;Carutapera;24095;Maranhão
501;MA;Caxias;166159;Maranhão
502;MA;Cedral;10711;Maranhão
503;MA;Central do Maranhão;8806;Maranhão
504;MA;Centro do Guilherme;13876;Maranhão
505;MA;Centro Novo do Maranhão;22056;Maranhão
506;MA;Chapadinha;80705;Maranhão
507;MA;Cidelândia;14855;Maranhão
508;MA;Codó;123368;Maranhão
509;MA;Coelho Neto;49804;Maranhão
510;MA;Colinas;41443;Maranhão
511;MA;Conceição do Lago-Açu;16559;Maranhão
512;MA;Coroatá;65788;Maranhão
513;MA;Cururupu;32559;Maranhão
514;MA;Davinópolis;12923;Maranhão
515;MA;Dom Pedro;23393;Maranhão
516;MA;Duque Bacelar;11451;Maranhão
517;MA;Esperantinópolis;16971;Maranhão
518;MA;Estreito;43097;Maranhão
519;MA;Feira Nova do Maranhão;8506;Maranhão
520;MA;Fernando Falcão;10559;Maranhão
521;MA;Formosa da Serra Negra;19425;Maranhão
522;MA;Fortaleza dos Nogueiras;12662;Maranhão
523;MA;Fortuna;17812;Maranhão
524;MA;Godofredo Viana;12104;Maranhão
525;MA;Gonçalves Dias;17953;Maranhão
526;MA;Governador Archer;10931;Maranhão
527;MA;Governador Edison Lobão;18740;Maranhão
528;MA;Governador Eugênio Barros;14703;Maranhão
529;MA;Governador Luiz Rocha;7878;Maranhão
530;MA;Governador Newton Bello;10121;Maranhão
531;MA;Governador Nunes Freire;25502;Maranhão
532;MA;Graça Aranha;6261;Maranhão
533;MA;Grajaú;70692;Maranhão
534;MA;Guimarães;11966;Maranhão
535;MA;Humberto de Campos;29143;Maranhão
536;MA;Icatu;27423;Maranhão
537;MA;Igarapé do Meio;14470;Maranhão
538;MA;Igarapé Grande;11453;Maranhão
539;MA;Imperatriz;259980;Maranhão
540;MA;Itaipava do Grajaú;16158;Maranhão
541;MA;Itapecuru Mirim;69233;Maranhão
542;MA;Itinga do Maranhão;26134;Maranhão
543;MA;Jatobá;10464;Maranhão
544;MA;Jenipapo dos Vieiras;17123;Maranhão
545;MA;João Lisboa;23677;Maranhão
546;MA;Joselândia;16228;Maranhão
547;MA;Junco do Maranhão;4334;Maranhão
548;MA;Lago da Pedra;50959;Maranhão
549;MA;Lago do Junco;10900;Maranhão
550;MA;Lago Verde;16369;Maranhão
551;MA;Lagoa do Mato;11280;Maranhão
552;MA;Lago dos Rodrigues;8841;Maranhão
553;MA;Lagoa Grande do Maranhão;11534;Maranhão
554;MA;Lajeado Novo;7653;Maranhão
555;MA;Lima Campos;11943;Maranhão
556;MA;Loreto;12271;Maranhão
557;MA;Luís Domingues;7016;Maranhão
558;MA;Magalhães de Almeida;20228;Maranhão
559;MA;Maracaçumé;21773;Maranhão
560;MA;Marajá do Sena;7757;Maranhão
561;MA;Maranhãozinho;16754;Maranhão
562;MA;Mata Roma;17122;Maranhão
563;MA;Matinha;23591;Maranhão
564;MA;Matões;34099;Maranhão
565;MA;Matões do Norte;17316;Maranhão
566;MA;Milagres do Maranhão;8502;Maranhão
567;MA;Mirador;21045;Maranhão
568;MA;Miranda do Norte;29121;Maranhão
569;MA;Mirinzal;15059;Maranhão
570;MA;Monção;33888;Maranhão
571;MA;Montes Altos;9064;Maranhão
572;MA;Morros;19708;Maranhão
573;MA;Nina Rodrigues;14826;Maranhão
574;MA;Nova Colinas;5469;Maranhão
575;MA;Nova Iorque;4682;Maranhão
576;MA;Nova Olinda do Maranhão;21228;Maranhão
577;MA;Olho d'Água das Cunhãs;19616;Maranhão
578;MA;Olinda Nova do Maranhão;14968;Maranhão
579;MA;Paço do Lumiar;125265;Maranhão
580;MA;Palmeirândia;19840;Maranhão
581;MA;Paraibano;21571;Maranhão
582;MA;Parnarama;35108;Maranhão
583;MA;Passagem Franca;19253;Maranhão
584;MA;Pastos Bons;19693;Maranhão
585;MA;Paulino Neves;16295;Maranhão
586;MA;Paulo Ramos;21092;Maranhão
587;MA;Pedreiras;39153;Maranhão
588;MA;Pedro do Rosário;25560;Maranhão
589;MA;Penalva;38987;Maranhão
590;MA;Peri Mirim;14371;Maranhão
591;MA;Peritoró;23530;Maranhão
592;MA;Pindaré-Mirim;33186;Maranhão
593;MA;Pinheiro;84160;Maranhão
594;MA;Pio XII;21274;Maranhão
595;MA;Pirapemas;18814;Maranhão
596;MA;Poção de Pedras;17321;Maranhão
597;MA;Porto Franco;24294;Maranhão
598;MA;Porto Rico do Maranhão;5936;Maranhão
599;MA;Presidente Dutra;48264;Maranhão
600;MA;Presidente Juscelino;12939;Maranhão
601;MA;Presidente Médici;7124;Maranhão
602;MA;Presidente Sarney;19217;Maranhão
603;MA;Presidente Vargas;11328;Maranhão
604;MA;Primeira Cruz;15545;Maranhão
605;MA;Raposa;31586;Maranhão
606;MA;Riachão;20288;Maranhão
607;MA;Ribamar Fiquene;7859;Maranhão
608;MA;Rosário;43243;Maranhão
609;MA;Sambaíba;5686;Maranhão
610;MA;Santa Filomena do Maranhão;7878;Maranhão
611;MA;Santa Helena;42829;Maranhão
612;MA;Santa Inês;89927;Maranhão
613;MA;Santa Luzia;73105;Maranhão
614;MA;Santa Luzia do Paruá;25487;Maranhão
615;MA;Santa Quitéria do Maranhão;25884;Maranhão
616;MA;Santa Rita;38732;Maranhão
617;MA;Santana do Maranhão;13704;Maranhão
618;MA;Santo Amaro do Maranhão;16219;Maranhão
619;MA;Santo Antônio dos Lopes;14516;Maranhão
620;MA;São Benedito do Rio Preto;18769;Maranhão
621;MA;São Bento;45989;Maranhão
622;MA;São Bernardo;28825;Maranhão
623;MA;São Domingos do Azeitão;7448;Maranhão
624;MA;São Domingos do Maranhão;34391;Maranhão
625;MA;São Félix de Balsas;4540;Maranhão
626;MA;São Francisco do Brejão;12082;Maranhão
627;MA;São Francisco do Maranhão;12226;Maranhão
628;MA;São João Batista;20736;Maranhão
629;MA;São João do Carú;15768;Maranhão
630;MA;São João do Paraíso;11207;Maranhão
631;MA;São João do Soter;18746;Maranhão
632;MA;São João dos Patos;26063;Maranhão
633;MA;São José de Ribamar;180345;Maranhão
634;MA;São José dos Basílios;7639;Maranhão
635;MA;São Luís;1115932;Maranhão
636;MA;São Luís Gonzaga do Maranhão;18600;Maranhão
637;MA;São Mateus do Maranhão;41750;Maranhão
638;MA;São Pedro da Água Branca;12779;Maranhão
639;MA;São Pedro dos Crentes;4700;Maranhão
640;MA;São Raimundo das Mangabeiras;19090;Maranhão
641;MA;São Raimundo do Doca Bezerra;5028;Maranhão
642;MA;São Roberto;6856;Maranhão
